cislo;id;typ;titul;stav;subjekty;meta;posledni_commit;soubor;akce
"1";"";"page";"vomaste.cz";"";"";"";"d128c8e 2026-07-29";"_index.md";""
"2";"";"page";"Dokumentace";"";"";"";"0db2169 2026-07-30";"dokumentace/_index.md";""
"3";"";"page";"AGENTS.md — pravidla a autorizační log";"";"";"";"0db2169 2026-07-30";"dokumentace/agents.md";""
"4";"";"page";"Bezpečnostní politika";"";"";"";"0db2169 2026-07-30";"dokumentace/bezpecnost.md";""
"5";"";"page";"Konstituce — Open Intelligence Commons";"";"";"";"0db2169 2026-07-30";"dokumentace/konstituce.md";""
"6";"";"page";"Co-op protokol pro více instancí";"";"";"";"0db2169 2026-07-30";"dokumentace/koop-protokol.md";""
"7";"";"page";"Licence";"";"";"";"0db2169 2026-07-30";"dokumentace/licence.md";""
"8";"";"page";"Jak přispívat";"";"";"";"0db2169 2026-07-30";"dokumentace/prispivani.md";""
"9";"";"page";"Dossiery";"";"";"";"ef57a82 2026-07-29";"dossiers/_index.md";""
"10";"";"page";"Filip Turek";"";"";"";"e4c652f 2026-07-29";"dossiers/filip-turek/_index.md";""
"11";"";"page";"Kauzy — Filip Turek";"";"";"";"e4c652f 2026-07-29";"dossiers/filip-turek/cases/_index.md";""
"12";"";"page";"Tvrzení — Filip Turek";"";"";"";"e4c652f 2026-07-29";"dossiers/filip-turek/claims/_index.md";""
"13";"";"page";"Entity — Filip Turek";"";"";"";"e4c652f 2026-07-29";"dossiers/filip-turek/entities/_index.md";""
"14";"";"page";"Evidence — Filip Turek";"";"";"";"325e74a 2026-07-29";"dossiers/filip-turek/evidence/_index.md";""
"15";"";"page";"Mezery — Filip Turek";"";"";"";"e4c652f 2026-07-29";"dossiers/filip-turek/gaps/_index.md";""
"16";"";"page";"Vztahy — Filip Turek";"";"";"";"e4c652f 2026-07-29";"dossiers/filip-turek/relations/_index.md";""
"17";"";"page";"Zdroje — Filip Turek";"";"";"";"e4c652f 2026-07-29";"dossiers/filip-turek/sources/_index.md";""
"18";"";"dossier";"Dossier — Petr Macinka a Filip Turek";"status-disputed";"Petr Macinka Filip Turek";"";"1fdd4bb 2026-07-30";"dossiers/macinka-turek/_index.md";""
"19";"";"page";"Registr kauz";"";"";"";"325e74a 2026-07-29";"dossiers/macinka-turek/cases/_index.md";""
